SiteCode,Site Name,NoofCells,(2G/3G),Priority,Type,Category,MBU#,OMO Colocation,OMO host name ,DG site,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Frequency,4G NAR
HWY9394,HWY9394__S_HusaykiWarid_25414,9,2G/3G/LTE,Hub,Macro,Standby,C4-HFZ-06,JAZZ,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
DSK5650,DSK5650__S_HaqPura,9,2G/3G/LTE,Elite,Macro,B2S,C4-WZD-07,Enfrashare,Enfrashare,Non DG Site,100,99.998713991769,89.920910493827,91.105967078189,100,100,100,100,83.628472222222,100,88.531378600823,100,100,100,100,86.069315843621,100,83.431069958847,100,100,,,,,,,,,,,,7,96.13429140946491
GUJ6461,GUJ6461__S_NawanPind,9,2G/LTE,Platinum,Macro,B2S,C4-HFZ-06,E.Co,E.CO,Non DG Site,100,100,100,100,100,96.086033950617,100,100,100,100,100,100,99.981352880658,100,100,100,100,100,100,100,,,,,,,,,,,,2,99.80336934156375
HWY3266,HWY3266__S_KaliSubha,6,2G/3G/LTE,Diamond,Macro,Deodar CP Prime,C4-GUJ-01,Jazz Host/CM-PAK Guest,DEODAR,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
GUJ9512,GUJ9512__S_Kashmiri_Colony_Rahwali_GJ1905,9,2G/3G/LTE,Elite,Macro,OMO,C4-GUJ-02,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,84.400077160493,100,92.756558641975,99.938271604938,99.956275720164,100,100,100,100,99.355709876543,99.963991769547,100,100,100,100,100,100,100,99.992283950617,92.352752057613,,,,,,,,,,,,8,98.43579603909451
GUJ9843,GUJ9843__S_MohallaIsbGuran,9,2G/3G/LTE,Platinum,Macro,Standby,C4-GUJ-02,JAZZ,DEODAR,DG site,100,100,100,100,100,99.958847736625,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,1,99.99794238683126
HWY5796,HWY5796_H_Itwaar bazar more_Eminabad More Gujranwala,6,2G/LTE,Diamond,Macro,OMO,C4-GUJ-01,Jazz Guest/PTCL Host,PTCL,Non DG Site,100,100,100,100,92.006172839506,100,100,94.148341049382,100,100,100,97.399691358024,100,100,94.393325617283,98.486689814814,100,100,92.947530864197,100,,,,,,,,,,,,6,98.46908757716031
SKG5615,SKG5615_H_Mohallah Bijli Ghar near Jamwal Phatak Shakar Grah,9,2G/LTE,Platinum,Macro,B2S,C4-NRW-05,Enfrashare,Enfrashare,Non DG Site,100,100,100,83.13978909465,83.25552983539,100,100,80.866126543209,100,100,85.434027777777,100,100,100,83.611111111111,100,100,85.243055555555,96.67824074074,100,,,,,,,,,,,,7,94.9113940329216
GUJ5922,GUJ5922_H_Abdullah Colony Gujranwala,6,2G/LTE,Platinum,Macro,B2S,C4-GUJ-01,E.Co,E.CO,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
PHA5873,PHA5873_H_Hailan_Road_MDPH1531_Relocation PHA6213,12,2G/3G/LTE,Bronze,Macro,B2S,C4-MBD-08,E.Co,E.CO,Non DG Site,100,93.728298611111,97.8515625,100,100,100,100,100,99.98649691358,100,100,100,100,100,95.026041666666,100,100,100,100,100,,,,,,,,,,,,4,99.32961998456786
